,GSM757001,GSM757002,GSM757003,GSM757004,GSM757005,GSM757006,GSM757007,GSM757008,GSM757009,GSM757010,GSM757011,GSM757012,GSM757013,GSM758485,GSM758486,GSM758487,GSM758488,GSM758489,GSM758490,GSM758491,GSM758492,GSM758493,GSM758494,GSM758495,GSM758496,GSM758497,GSM2544316,GSM2544317,GSM2544318,GSM2544319,GSM2544320,GSM2544321,GSM2544322,GSM2544323,GSM2544324,GSM2544325,GSM2544326,GSM2544327,GSM2544328,GSM2544329,GSM2544330,GSM2544331,GSM2544332,GSM2544333,GSM2544334,GSM2544335,GSM756992,GSM756993,GSM756994,GSM756995,GSM756996,GSM756997,GSM756998,GSM756999,GSM757000,GSM2544275,GSM2544276,GSM2544277,GSM2544278,GSM2544279,GSM2544280,GSM2544281,GSM2544282,GSM2544283,GSM2544284,GSM2544285,GSM2544286,GSM2544287,GSM2544288,GSM2544289,GSM2544290,GSM2544291,GSM2544292,GSM2544293,GSM2544294,GSM2544295,GSM2544296,GSM2544297,GSM2544298,GSM2544299,GSM2544300,GSM2544301,GSM2544302,GSM2544303,GSM2544304,GSM2544305,GSM2544306,GSM2544307,GSM2544308,GSM2544309,GSM2544310,GSM2544311,GSM2544312,GSM2544313,GSM2544314,GSM2544315
BTG2,4.934222669,5.721358015,5.300142831,4.75966507,5.55747613,5.214554185,4.696966667,5.32612985,5.291319545,5.463490586,5.148027495,6.024803522,5.27899707,4.79838764,5.385066396,5.199763514,4.641327846,5.440960514,5.198259391,4.549319782,5.139323566,5.295828118,5.337208949,5.02801507,5.933879372,5.140280981,6.36954405,6.786514516,5.245853735,6.387581428,7.307008024,4.944303303,6.996247015,5.202679158,4.252090113,5.465564358,6.203945562,5.087067237,4.31712062,6.23263267,6.103876488,4.874072658,4.942000659,5.428242335,5.277515091,5.663783637,3.826196492,4.563990667,4.469558589,4.51762741,3.816552436,5.344260056,4.686224528,4.870259151,5.887395379,4.136495916,4.860830991,4.498356435,4.347149473,4.906404156,4.348780512,4.017765831,4.321916331,4.464392434,4.031562506,4.056085666,4.139182334,4.301768196,4.142156583,3.973564658,4.746178504,3.963826393,3.877266164,3.860274569,3.841843822,4.315104343,4.065353808,4.47715292,3.778828129,4.302535744,5.003882755,3.833045803,4.750208132,4.412486999,4.56340613,3.491870704,4.712118561,4.080273023,4.118909472,3.940454555,4.372478558,4.384951213,3.619734611,4.26463806,3.722576453,3.634730581
CSF3R,2.261800853,2.131864148,2.181951962,2.531098017,2.335821756,2.298163212,2.222343518,2.390952751,2.759991633,2.543716798,2.469672841,2.572644651,2.756403732,2.158506271,2.072460492,2.119747511,2.483165897,2.344045686,2.341367088,2.220173521,2.43352813,2.567407349,2.3661311,2.398828081,2.341367088,2.64252385,3.102596429,2.863714394,3.250861148,2.587706233,3.255876571,2.180777528,2.545484757,2.068529947,1.958410424,2.010462929,3.471220085,1.820965833,2.281215885,3.35362738,3.089448426,2.337854206,2.400636921,3.445333704,2.438462408,3.047486713,2.325580068,2.960764424,3.441995491,2.438047557,2.340293225,2.154697084,1.878303877,1.915476876,2.260338735,1.975427536,1.882961904,1.964137837,1.707212264,2.113211816,1.865677675,1.776968616,2.153165361,2.022974152,1.785860503,1.974178675,1.992302139,2.098395336,1.841789471,2.211272343,1.99265182,1.813555233,2.234541111,2.090032966,1.860932005,1.865827538,2.101822209,2.185056263,1.964947098,2.683531437,2.115439784,2.169680293,2.325308292,2.162536811,2.179581259,2.169680293,2.18433692,1.888386954,2.28391606,2.122353475,2.064306439,1.954496634,1.842828523,2.084268226,2.088794096,1.869004639
CSN3,1.786610684,1.807181799,1.830889381,1.920560486,1.816368646,2.045773938,2.015552938,1.685271848,1.7627907,1.415804004,2.253907732,1.908890968,1.901355645,1.615272655,1.649771602,1.615948846,1.857615216,1.79667032,1.88087275,1.989003988,1.603068894,1.659547771,1.271896664,2.106661067,1.823610206,1.851282266,1.881994248,2.225011763,1.985403555,1.842456012,2.065580349,1.832940847,2.213086368,1.881334055,1.821172641,1.804866918,2.218514624,2.271696852,2.009526804,2.016547906,2.366083519,1.700818376,1.657172271,1.919457591,1.668888081,1.755027572,1.865575323,2.155255584,1.855570807,1.856419779,1.896084716,1.839453586,1.601142676,1.608925639,2.006411574,1.68882121,1.380102303,1.337284059,1.832743323,1.708627005,1.282152689,1.596677104,1.929466864,1.855766251,1.622183615,1.448689039,1.912637178,1.765571287,1.561120986,1.887916611,1.7941587,1.442590111,1.593177032,1.651651286,1.736417994,1.43752863,1.795154229,1.539607071,1.594329751,1.709863557,1.687532261,2.014464116,1.584060079,1.731335555,1.612762763,2.1926534,1.776501152,1.805539173,1.719347285,1.829630984,2.124601106,1.53793039,1.700107369,1.414159887,1.84012072,1.817485525
CXCR1,2.36995592,2.320486322,2.309014806,2.256701311,2.585842818,2.395434048,2.210852151,2.31024262,2.469287924,2.146424566,2.364726216,2.431415859,2.308272328,2.442525785,2.25949412,2.21099917,2.220124608,2.5835853,2.342606269,2.206179303,2.189429263,2.39003689,2.153023995,2.431260896,2.423638573,2.283628636,3.065129583,3.313494513,4.147340949,2.912654435,2.714459481,2.428138178,2.707426914,2.226378216,2.107644772,2.064312466,5.135514063,1.638915248,2.942197713,5.238598827,3.232019057,3.452026338,3.10411729,4.609127234,3.55345447,3.133441308,2.155412015,3.021655913,3.01684797,2.293111657,2.394586512,2.563600779,2.644457679,2.407864272,2.607619861,1.367585493,1.30896994,1.303959439,1.585903659,1.653045996,1.669133196,1.463548362,1.854164419,1.669750373,1.395325965,1.303228572,1.387781791,1.542863699,1.252847457,1.836428708,1.427971369,1.387724946,1.408790164,1.308783163,1.261057532,1.014243665,1.440071282,1.472806014,1.517794953,1.168667792,1.198625228,1.328183628,1.683044036,1.267278025,1.621911052,1.127714864,1.401530216,1.232066465,1.677854879,1.301084695,1.449881144,1.424609379,1.160506441,1.517194017,1.439445984,1.486302695
CXCR2,2.34189939,2.433336141,2.408490756,2.394444041,2.482408531,2.415556599,2.868253513,4.014285395,2.616382677,2.648234527,3.006699165,3.02572519,3.095879956,2.633396915,2.482113162,2.479152805,2.429395997,2.64991614,2.527693323,2.997288783,4.063702324,2.656287329,2.796721226,3.072921962,3.025432906,2.923374588,3.575012746,3.538231069,4.239603796,3.649157838,2.857307298,2.955797223,3.1343642,3.040334263,2.161399378,2.882727465,5.110711666,1.752834538,2.877394871,5.028228337,3.818328872,3.64425714,3.224859642,4.857135805,3.100729195,3.877736613,2.262564459,2.629683893,2.898427168,2.569283523,2.467744291,2.477174635,2.722553985,2.314062242,2.868936744,1.66179132,1.703676421,1.648534756,1.794577317,1.973629075,1.660645473,1.417981598,2.040678732,1.845549864,1.484652244,1.546193022,1.851658108,1.898249995,1.342831687,2.101849314,1.727227977,1.816921326,1.694668304,1.638345535,1.460483694,1.17545875,1.704989738,1.818851637,1.89520028,1.393830677,1.847956141,1.562226061,2.086900422,1.344250774,1.62160736,1.158288679,1.601378759,1.776067486,1.811597546,1.527145526,1.503532271,1.442670186,1.434041079,1.5611331,2.163063967,1.42450411
EGR1,4.792053638,5.366259795,5.515191736,3.797870567,5.787260586,5.545320371,3.948819991,5.394057503,5.158038387,4.898988564,3.981418666,6.380809301,4.748786497,4.621220842,5.004415764,5.352316165,3.694447594,5.663623884,5.410146182,3.761383585,5.265905459,5.011853791,4.708253526,3.917472784,6.130674481,4.627795747,9.013080342,9.233950604,6.776326692,7.709676236,6.369544658,3.915736697,6.381000934,5.65285351,4.389394743,3.469598985,6.268375632,8.182837282,4.255533212,8.078467238,6.11548489,5.204121288,3.182021186,6.394900092,5.083409203,6.65805749,3.454360906,5.526557456,3.99727142,4.633528417,2.721892174,4.331869055,4.370340316,6.325667379,6.884116928,3.730905059,3.87413378,2.343154121,2.32581808,1.813343476,1.840796419,2.016136408,3.42170354,2.107348582,1.93186539,3.163600381,2.406020436,2.803864891,3.054572013,1.950582923,3.728858092,2.949923986,1.615427884,4.389068115,1.789192635,1.911800059,4.199079255,2.143966546,4.811939478,4.926333763,3.301041998,4.468251199,4.320970662,4.01291477,4.407853038,3.806078446,4.524690205,4.092738058,5.26193526,4.315469965,4.292380515,5.909046379,5.194882351,3.589706457,4.578012431,1.810437288
FFAR2,1.878638996,1.681910326,1.611935548,1.914271723,1.420302261,1.687766445,1.73280556,1.348055565,1.671098121,1.742201667,1.851491542,1.761474994,1.621570673,1.812253547,1.587415719,1.622154581,1.781821059,1.415335895,1.692459872,1.707318365,1.348684197,1.798947365,1.733431111,1.787105598,1.69638948,1.638241049,1.992928151,1.583913231,2.345442749,2.061457291,3.376628505,1.89390552,1.581814773,1.814471423,1.821653592,1.883931259,2.608189002,1.526025644,1.785409097,1.781677529,1.688353221,1.663075143,1.674243506,2.284552347,2.236902425,2.073731953,1.861716888,2.345298171,1.79484056,1.99971577,2.092270496,1.93633369,1.580722932,1.645673257,1.750426994,1.577167393,1.625616309,1.590153248,1.50241312,1.611541715,1.364415364,1.292655125,1.649480781,1.848772827,1.496723577,1.604552708,1.839176113,1.849413778,1.128264211,1.680422061,1.452278413,1.462524859,1.443665077,1.433804959,1.346872606,1.519183224,1.561433348,1.609855924,1.464421373,1.477091142,1.342947875,1.61128709,1.654783997,1.388499339,1.626863092,1.239807349,1.543960832,1.421925404,2.089050654,1.389201752,1.537533756,1.44433237,1.561442128,1.869458881,1.499436646,1.316607399
FOXF1,2.744266539,2.282113062,3.344907286,2.715105122,3.283543055,2.981420224,2.675264719,3.09180939,2.53461562,3.791047862,2.448884963,2.429944581,2.055315562,2.646153007,2.621495061,3.17697434,2.658985436,3.308908012,2.857322947,2.666039978,2.92205083,2.564943124,3.382975125,2.414884438,2.244659535,2.223818713,3.265551379,4.011764912,3.067225638,2.940983266,4.478849375,2.972685496,3.197754093,2.977989729,2.891052868,2.182223499,2.642542191,2.536769557,2.623295874,4.523886084,2.696249597,3.271110149,2.271122762,2.652313146,2.671986428,3.074073517,2.164159579,3.065979342,3.159529658,2.790012275,2.730000082,2.688209513,2.903337864,2.467931548,3.331393089,2.490804153,2.393767901,2.584178348,2.549602307,2.837032584,3.059958139,2.5373024,2.398932549,2.680746579,2.868472066,2.415649913,1.950437532,2.669571563,2.503793774,2.813541239,2.686108288,2.488505104,3.088835825,2.75480056,3.306900536,2.055832465,1.672507251,2.637023611,2.371877679,2.32063354,2.753954839,2.112044191,2.693686935,2.530249249,2.267172461,2.231701433,2.228039378,2.153780125,2.175194115,1.311778395,1.946364933,2.013226178,2.365760569,3.295364242,2.00981866,2.576295898
FPR1,2.689890811,2.734093262,2.351770352,2.575380863,2.886317439,2.780201674,2.719844899,2.75503677,2.991559849,2.958243033,3.168420844,2.916077833,3.04290693,2.784469552,2.842224496,2.618463862,2.739384037,2.985971186,2.8724326,3.084749221,2.991327752,3.16029246,3.176207174,3.330199572,2.952798304,3.029860144,4.092986185,4.128037382,4.661085495,3.444939979,5.134074198,2.703331293,3.854518964,2.327985776,2.348167008,2.371738243,6.009846002,1.80375008,2.981898988,4.952014394,4.424523661,3.465557863,3.558032684,4.689650434,2.694534753,4.883920598,2.837729915,3.538923792,3.554375785,3.178299133,2.882438947,3.032229081,2.795102128,3.336269615,3.239656715,1.885723247,1.99811731,1.960430327,1.658601022,1.474762857,1.226895722,1.532361142,2.333759309,1.965281127,1.717382236,1.424436801,2.642241593,1.726440767,1.419069959,1.606512483,2.48926277,1.607290517,1.907365277,2.137258254,2.257504102,2.515969956,2.442064727,2.0693153,2.024379905,2.351233303,2.13001778,2.514302742,2.549052252,1.742184034,2.403012216,1.367568915,3.089436108,1.934135976,3.184840463,1.772106561,2.226295437,1.944575913,2.037677924,2.32548675,2.817950104,1.657616572
FPR2,1.564884676,1.777808457,1.736488052,2.008636279,1.612622547,1.939165607,1.999433141,1.851370067,1.851128325,1.605847215,1.97371124,1.9902826,2.047817065,1.61577783,1.804351287,1.700235647,2.030501718,1.660414684,1.915640964,1.943305227,1.813916485,1.971895069,1.66587524,1.918855853,1.971992996,2.056420872,2.238444627,2.447018695,2.145800614,2.548714746,4.725123405,1.836104446,2.69238307,1.816344107,1.774953986,1.974016854,3.67172515,1.656711725,1.681777018,3.408650263,2.539252742,2.368584088,1.983585449,2.50798877,2.250989572,1.823625095,1.974182106,3.006803798,2.813140513,2.779238698,2.040186637,1.816693734,1.748876674,1.889352437,1.918848263,1.621876733,1.428823961,1.589612445,1.54923084,1.574894683,1.707256157,1.265460893,1.401159486,1.464138392,1.415090115,1.290427794,1.856852582,1.497378398,1.380612013,1.553486282,1.35019257,1.371822352,1.319641938,1.358818245,1.541211914,1.691710263,1.532660033,1.89613548,1.438376158,1.827638438,1.242552018,1.800859489,1.843512303,1.250964511,1.36327867,1.725278242,1.604346607,1.372027335,1.448395716,1.205778109,1.639570846,1.354964569,1.55148565,1.432866221,1.620040088,1.332416464
GLE1,2.764852665,2.95337986,3.007301594,3.014648832,3.039740631,2.942455213,3.305449942,3.072463863,3.132512396,2.797845387,3.089650938,3.124520712,3.137447142,2.709494236,2.876606414,2.942913576,2.943992553,2.925815236,2.897017997,3.193278387,2.912111002,3.070386018,2.843864678,3.066581965,3.098612838,3.025339733,2.967523734,2.763038083,3.006668258,2.634768597,3.690594251,3.115160862,3.450673909,3.223084092,3.054602506,3.012771245,3.562395937,2.9347313,2.842848428,3.350472826,3.01994181,3.367927725,2.922632083,3.312591603,3.282067772,3.430443308,2.5862176,3.44139912,3.106531586,3.18384883,3.15633364,3.047040544,3.026738733,3.101863795,2.701928544,2.721742412,3.229838324,2.982925347,2.68251782,3.003209327,2.913114648,3.046997814,3.015353026,2.814043418,3.099664991,3.041615442,3.117315612,2.841106518,3.119948971,3.402314431,2.982427144,2.584451893,2.668158897,2.672447002,2.904298234,2.708370998,2.683692156,2.967587811,3.04784298,3.212561355,3.414039995,2.740167027,3.176085776,2.615580685,2.747186352,2.970416892,2.877671062,2.846257582,3.047638361,2.882946676,2.778955691,2.827770691,2.652483295,3.236813166,2.801481585,2.649529663
IL1B,1.927323478,2.42989054,1.87905641,1.814300822,2.314563852,2.209644861,1.940256481,2.513339784,2.28893129,2.461406322,1.806932876,2.140616272,2.102631169,1.931366406,2.484368,1.827977201,1.84723959,2.430655092,2.314411749,1.940152149,2.551006023,2.362375964,2.494604217,1.869969855,2.192096806,2.068369249,2.445251999,2.46046701,3.459237146,2.485507519,3.615305021,1.96005068,1.972912961,2.413080749,2.685914507,1.712267795,2.74821521,1.816202491,2.518684121,3.198156674,1.972809316,2.373612927,1.618314064,2.836199019,2.575968431,2.799571055,1.367163441,2.800781126,2.161850052,2.852308765,1.409147533,1.688830932,1.882179935,3.385361626,2.804435139,2.14854677,2.04508884,1.829653401,1.407758137,1.808520289,1.585819372,1.402358259,2.017146285,1.735844772,1.35933543,1.458067172,2.52425805,1.976621289,1.670165259,2.196047041,1.827756707,1.689246209,1.531084716,2.652310818,2.548158469,1.583041699,2.036579627,1.897426534,2.109161864,2.212837448,1.517724941,1.983358181,2.009663153,2.499963781,2.648185768,1.429564937,1.950264495,1.644990012,2.833128997,1.917906685,2.105254467,1.794186256,1.694138229,1.630137756,2.243174191,1.702989469
